version,seconds,cpu,processes,mem_used_mb,memused_percent
v1,0.0,0.04,1,272.85,0.02
v1,0.584,0.06,1,272.85,0.02
v1,1.175,0.04,1,272.85,0.02
v1,1.752,0.04,1,272.85,0.02
v1,2.327,0.08,1,272.85,0.02
v1,2.907,0.04,1,272.85,0.02
v1,3.482,0.02,1,272.9,0.02
v1,4.059,0.04,1,272.9,0.02
v1,4.638,0.06,1,272.9,0.02
v1,5.206,0.06,1,272.9,0.02
v1,5.778,0.06,1,272.9,0.02
v1,6.357,0.06,1,272.9,0.02
v1,6.934,0.04,1,272.9,0.02
v1,7.514,0.06,1,272.9,0.02
v1,8.094,0.06,1,272.9,0.02
v1,8.668,0.04,1,272.9,0.02
v1,9.247,0.06,1,272.9,0.02
v1,9.824,0.06,1,272.9,0.02
v1,10.399,0.08,1,272.9,0.02
v1,10.981,0.02,1,272.9,0.02
v1,11.556,0.04,1,272.9,0.02
v1,12.137,0.06,1,272.9,0.02
v1,12.713,0.04,1,272.9,0.02
v1,13.289,0.06,1,272.9,0.02
v1,13.868,0.06,1,272.9,0.02
v1,14.443,0.02,1,272.9,0.02
v1,15.02,0.04,1,272.9,0.02
v1,15.6,0.08,1,272.9,0.02
v1,16.178,0.06,1,272.9,0.02
v1,16.766,0.06,1,272.9,0.02
v1,17.344,0.06,1,272.9,0.02
v1,17.919,0.06,1,272.9,0.02
v1,18.499,0.04,1,272.9,0.02
v1,19.074,0.04,1,272.9,0.02
v1,19.652,0.08,1,272.9,0.02
v1,20.233,0.04,1,272.9,0.02
v1,20.809,0.02,1,272.9,0.02
v1,21.394,0.04,1,272.9,0.02
v1,21.974,0.08,1,272.9,0.02
v1,22.55,0.08,1,272.9,0.02
v1,23.131,0.04,1,272.9,0.02
v1,23.706,0.04,1,272.9,0.02
v1,24.284,0.04,1,272.9,0.02
v1,24.863,0.08,1,272.9,0.02
v1,25.439,0.04,1,272.9,0.02
v1,26.015,0.04,1,272.9,0.02
v1,26.595,0.04,1,272.9,0.02
v1,27.173,0.06,1,272.9,0.02
v1,27.75,0.04,1,272.9,0.02
v1,28.328,0.06,1,272.9,0.02
v1,28.902,0.06,1,272.9,0.02
v1,29.483,0.08,1,272.9,0.02
v1,30.058,0.06,1,273.14,0.02
v1,30.634,0.04,1,273.14,0.02
v1,31.215,0.04,1,273.14,0.02
v1,31.791,0.08,1,273.14,0.02
v1,32.371,0.06,1,273.14,0.02
v1,32.947,0.08,1,273.14,0.02
v1,33.521,0.04,1,273.14,0.02
v1,34.1,0.04,1,273.14,0.02
v1,34.675,0.04,1,273.14,0.02
v1,35.25,0.02,1,273.14,0.02
v1,35.828,0.04,1,273.14,0.02
v1,36.403,0.04,1,273.14,0.02
v1,36.995,0.06,1,273.14,0.02
v1,37.57,0.04,1,273.14,0.02
v1,38.147,0.06,1,273.14,0.02
v1,38.726,0.04,1,273.14,0.02
v1,39.303,0.08,1,273.14,0.02
v1,39.877,0.02,1,273.14,0.02
v1,40.456,0.04,1,273.14,0.02
v1,41.031,0.06,1,273.14,0.02
v1,41.607,0.08,1,273.28,0.02
v1,42.186,0.02,1,273.28,0.02
v1,42.761,0.06,1,273.28,0.02
v1,43.34,0.06,1,273.28,0.02
v1,43.915,0.04,1,273.28,0.02
v1,44.491,0.02,1,273.28,0.02
v1,45.069,0.02,1,273.28,0.02
v1,45.645,0.04,1,273.28,0.02
v1,46.221,0.04,1,273.28,0.02
v1,46.8,0.06,1,273.28,0.02
v1,47.376,0.06,1,273.28,0.02
v1,47.956,0.04,1,273.28,0.02
v1,48.532,0.06,1,273.28,0.02
v1,49.107,0.02,1,273.28,0.02
v1,49.686,0.08,1,273.28,0.02
v1,50.261,0.04,1,273.28,0.02
v1,50.837,0.02,1,273.28,0.02
v1,51.415,0.06,1,273.28,0.02
v1,51.991,0.06,1,273.28,0.02
v1,52.58,0.08,1,273.41,0.02
v1,53.158,0.06,1,273.42,0.02
v1,53.734,0.06,1,273.42,0.02
v1,54.316,0.02,1,273.42,0.02
v1,54.891,0.04,1,273.42,0.02
v1,55.466,0.04,1,273.42,0.02
v1,56.046,0.06,1,273.42,0.02
v1,56.621,0.04,1,273.42,0.02
v1,57.197,0.04,1,273.42,0.02
v1,57.776,0.06,1,273.42,0.02
v1,58.351,0.06,1,273.42,0.02
v1,58.93,0.06,1,273.42,0.02
v1,59.506,0.06,1,273.42,0.02
v1,60.084,0.02,1,273.42,0.02
v1,60.664,0.04,1,273.42,0.02
v1,61.24,0.06,1,273.42,0.02
v1,61.815,0.04,1,273.42,0.02
v1,62.395,0.08,1,273.42,0.02
v1,62.971,0.04,1,273.42,0.02
v1,63.553,0.02,1,273.42,0.02
v1,64.129,0.02,1,273.42,0.02
v1,64.705,0.04,1,273.42,0.02
v1,65.284,0.08,1,273.42,0.02
v1,65.859,0.04,1,273.42,0.02
v1,66.435,0.04,1,273.42,0.02
v1,67.015,0.06,1,273.42,0.02
v1,67.593,0.06,1,273.42,0.02
v1,68.184,0.06,1,273.42,0.02
v1,68.762,0.04,1,273.42,0.02
v1,69.34,0.04,1,273.42,0.02
v1,69.92,0.02,1,273.42,0.02
v1,70.497,0.08,1,273.42,0.02
v1,71.073,0.04,1,273.42,0.02
