# Records,Sample,Missing runtime
10.0,1.0,0.0
10.0,2.0,0.0
10.0,3.0,0.0
25.0,1.0,0.0
25.0,2.0,0.0
25.0,3.0,0.0
50.0,1.0,0.0
50.0,2.0,0.0
50.0,3.0,0.0
75.0,1.0,0.0
75.0,2.0,0.0
75.0,3.0,0.0
100.0,1.0,0.0
100.0,2.0,0.0
100.0,3.0,0.0
250.0,1.0,0.0
250.0,2.0,0.0
250.0,3.0,0.0
500.0,1.0,1.0
500.0,2.0,2.0
500.0,3.0,1.0
750.0,1.0,2.0
750.0,2.0,3.0
750.0,3.0,2.0
1000.0,1.0,2.0
1000.0,2.0,3.0
1000.0,3.0,4.0
2500.0,1.0,14.0
2500.0,2.0,13.0
2500.0,3.0,13.0
5000.0,1.0,41.0
5000.0,3.0,45.0
10000.0,1.0,156.0
10000.0,2.0,135.0
10000.0,3.0,138.0
25000.0,1.0,623.0
25000.0,2.0,614.0
25000.0,3.0,622.0
50000.0,1.0,2154.0
