version,size,read_files_prop,hmm_scan_prop,hmm_align_prop,distance_calc_prop,cc_gen_prop,start,read_files,hmm_scan,hmm_align,distance_calc,cc_gen,total
BiG-SCAPE v1.1,10,0.051,0.0,0.644,0.305,0.0,0.0,1.0,0.0,12.667,6.0,0.0,25.231
BiG-SCAPE v1.1,25,0.039,0.363,0.353,0.235,0.01,0.0,1.333,12.333,12.0,8.0,0.333,34.688
BiG-SCAPE v1.1,50,0.048,0.545,0.169,0.233,0.005,0.0,3.0,34.333,10.667,14.667,0.333,63.175
BiG-SCAPE v1.1,75,0.051,0.578,0.153,0.215,0.004,0.0,4.667,53.0,14.0,19.667,0.333,91.843
BiG-SCAPE v1.1,100,0.046,0.647,0.111,0.193,0.003,0.0,5.667,79.333,13.667,23.667,0.333,122.942
BiG-SCAPE v1.1,250,0.052,0.672,0.046,0.222,0.009,0.0,15.333,199.667,13.667,66.0,2.667,297.842
BiG-SCAPE v1.1,500,0.051,0.672,0.029,0.232,0.016,0.0,31.667,418.0,18.0,144.667,10.0,622.448
BiG-SCAPE v1.1,750,0.048,0.678,0.02,0.235,0.019,0.0,46.0,649.0,19.0,225.333,18.333,958.245
BiG-SCAPE v1.1,1000,0.045,0.669,0.018,0.244,0.024,0.0,56.333,840.333,22.333,307.0,30.667,1257.057
BiG-SCAPE v1.1,2500,0.045,0.666,0.013,0.232,0.044,0.0,144.667,2120.667,41.0,737.667,141.333,3185.814
BiG-SCAPE v1.1,5000,0.041,0.631,0.011,0.245,0.072,0.0,275.5,4230.0,74.5,1642.0,480.5,6710.19
BiG-SCAPE v1.1,10000,0.044,0.588,0.019,0.23,0.12,0.0,640.0,8493.0,267.333,3319.0,1727.0,14461.623
BiG-SCAPE v1.1,25000,0.035,0.462,0.031,0.234,0.239,0.0,1556.0,20753.0,1386.667,10531.667,10735.0,44968.949
BiG-SCAPE v2.0,10,0.131,0.529,0.258,0.07,0.012,0.0,0.879,3.541,1.728,0.471,0.077,12.806
BiG-SCAPE v2.0,25,0.132,0.617,0.2,0.044,0.007,0.0,1.246,5.838,1.889,0.417,0.066,11.035
BiG-SCAPE v2.0,50,0.144,0.581,0.208,0.059,0.007,0.0,2.035,8.212,2.939,0.837,0.1,15.63
BiG-SCAPE v2.0,75,0.16,0.548,0.207,0.078,0.008,0.0,3.119,10.707,4.052,1.515,0.147,20.901
BiG-SCAPE v2.0,100,0.162,0.55,0.193,0.089,0.006,0.0,3.828,12.999,4.554,2.112,0.146,25.116
BiG-SCAPE v2.0,250,0.178,0.48,0.158,0.177,0.007,0.0,9.095,24.57,8.108,9.052,0.363,52.982
BiG-SCAPE v2.0,500,0.208,0.557,0.17,0.053,0.012,0.0,17.093,45.846,14.005,4.395,1.008,84.908
BiG-SCAPE v2.0,750,0.195,0.549,0.168,0.073,0.015,0.0,24.195,68.145,20.817,9.072,1.808,127.02
BiG-SCAPE v2.0,1000,0.187,0.538,0.165,0.093,0.017,0.0,29.419,84.727,26.024,14.664,2.62,161.205
BiG-SCAPE v2.0,2500,0.157,0.486,0.149,0.177,0.032,0.0,65.382,202.282,62.105,73.664,13.179,429.856
BiG-SCAPE v2.0,5000,0.126,0.397,0.127,0.298,0.053,0.0,123.938,391.785,124.894,294.297,51.866,1029.801
BiG-SCAPE v2.0,10000,0.08,0.276,0.088,0.472,0.084,0.0,223.407,767.246,245.862,1314.522,232.927,2947.241
BiG-SCAPE v2.0,25000,0.036,0.107,0.034,0.7,0.123,0.0,641.015,1932.833,619.103,12604.946,2219.673,19042.813
BiG-SCAPE v2.0,50000,0.012,0.043,0.013,0.814,0.118,0.0,1199.833,4198.515,1247.065,80057.173,11643.113,101310.839
BiG-SCAPE v2.0,75000,0.006,0.026,0.007,0.848,0.113,0.0,1507.05,6578.515,1868.496,217326.414,29000.695,262954.296
