size,sample,run_start,distance_calc_end,pre_crash_time,run_end,missing_runtime
10,1,2024-12-03T01:16:37,2024-12-03T01:17:01,2024-12-03T01:17:01,2024-12-03T01:17:01, 0:00:00
10,2,2024-12-03T01:17:06,2024-12-03T01:17:23,2024-12-03T01:17:23,2024-12-03T01:17:23, 0:00:00
10,3,2024-12-03T01:17:27,2024-12-03T01:17:45,2024-12-03T01:17:45,2024-12-03T01:17:45, 0:00:00
25,1,2024-12-03T01:17:49,2024-12-03T01:18:24,2024-12-03T01:18:25,2024-12-03T01:18:25, 0:00:00
25,2,2024-12-03T01:18:28,2024-12-03T01:19:04,2024-12-03T01:19:04,2024-12-03T01:19:04, 0:00:00
25,3,2024-12-03T01:19:07,2024-12-03T01:19:37,2024-12-03T01:19:37,2024-12-03T01:19:37, 0:00:00
50,1,2024-12-03T01:19:39,2024-12-03T01:20:45,2024-12-03T01:20:46,2024-12-03T01:20:46, 0:00:00
50,2,2024-12-03T01:20:48,2024-12-03T01:21:51,2024-12-03T01:21:51,2024-12-03T01:21:51, 0:00:00
50,3,2024-12-03T01:21:53,2024-12-03T01:22:52,2024-12-03T01:22:52,2024-12-03T01:22:52, 0:00:00
75,1,2024-12-03T01:22:54,2024-12-03T01:24:25,2024-12-03T01:24:25,2024-12-03T01:24:25, 0:00:00
75,2,2024-12-03T01:24:27,2024-12-03T01:25:57,2024-12-03T01:25:58,2024-12-03T01:25:58, 0:00:00
75,3,2024-12-03T01:26:00,2024-12-03T01:27:33,2024-12-03T01:27:33,2024-12-03T01:27:33, 0:00:00
100,1,2024-12-03T01:27:35,2024-12-03T01:29:36,2024-12-03T01:29:36,2024-12-03T01:29:36, 0:00:00
100,2,2024-12-03T01:29:39,2024-12-03T01:31:44,2024-12-03T01:31:45,2024-12-03T01:31:45, 0:00:00
100,3,2024-12-03T01:31:47,2024-12-03T01:33:48,2024-12-03T01:33:48,2024-12-03T01:33:48, 0:00:00
250,1,2024-12-03T01:33:51,2024-12-03T01:38:43,2024-12-03T01:38:45,2024-12-03T01:38:45, 0:00:00
250,2,2024-12-03T01:38:49,2024-12-03T01:44:06,2024-12-03T01:44:09,2024-12-03T01:44:09, 0:00:00
250,3,2024-12-03T01:44:14,2024-12-03T01:48:49,2024-12-03T01:48:52,2024-12-03T01:48:52, 0:00:00
500,1,2024-12-03T01:48:56,2024-12-03T01:59:16,2024-12-03T01:59:26,2024-12-03T01:59:27, 0:00:01
500,2,2024-12-03T01:59:35,2024-12-03T02:09:51,2024-12-03T02:09:57,2024-12-03T02:09:59, 0:00:02
500,3,2024-12-03T02:10:07,2024-12-03T02:20:08,2024-12-03T02:20:18,2024-12-03T02:20:19, 0:00:01
750,1,2024-12-03T02:20:21,2024-12-03T02:35:40,2024-12-03T02:35:56,2024-12-03T02:35:58, 0:00:02
750,2,2024-12-03T02:36:07,2024-12-03T02:52:26,2024-12-03T02:52:39,2024-12-03T02:52:42, 0:00:03
750,3,2024-12-03T02:52:53,2024-12-03T03:08:13,2024-12-03T03:08:32,2024-12-03T03:08:34, 0:00:02
1000,1,2024-12-03T03:08:44,2024-12-03T03:29:01,2024-12-03T03:29:27,2024-12-03T03:29:29, 0:00:02
1000,2,2024-12-03T03:29:42,2024-12-03T03:50:53,2024-12-03T03:51:24,2024-12-03T03:51:27, 0:00:03
1000,3,2024-12-03T03:51:41,2024-12-03T04:11:31,2024-12-03T04:11:57,2024-12-03T04:12:01, 0:00:04
2500,1,2024-12-03T04:12:13,2024-12-03T05:02:45,2024-12-03T05:05:03,2024-12-03T05:05:17, 0:00:14
2500,2,2024-12-03T05:05:51,2024-12-03T05:57:16,2024-12-03T05:59:15,2024-12-03T05:59:28, 0:00:13
2500,3,2024-12-03T06:00:06,2024-12-03T06:50:21,2024-12-03T06:52:28,2024-12-03T06:52:41, 0:00:13
5000,1,2024-12-03T06:53:17,2024-12-03T08:33:17,2024-12-03T08:40:33,2024-12-03T08:41:14, 0:00:41
5000,2,2024-12-03T08:43:35,2024-12-03T11:31:22,2024-12-03T11:39:31,2024-12-03T11:40:12, 0:00:41
5000,3,2024-12-03T11:43:29,2024-12-03T13:30:53,2024-12-03T13:38:12,2024-12-03T13:38:57, 0:00:45
10000,1,2024-12-02T10:49:32,2024-12-02T14:12:27,2024-12-02T14:39:33,2024-12-02T14:42:09, 0:02:36
10000,2,2024-12-02T14:49:23,2024-12-02T18:31:08,2024-12-02T18:57:22,2024-12-02T18:59:37, 0:02:15
10000,3,2024-12-02T19:06:51,2024-12-02T22:38:09,2024-12-02T23:04:01,2024-12-02T23:06:19, 0:02:18
25000,1,2024-12-03T14:41:15,2024-12-04T00:17:14,2024-12-04T03:03:35,2024-12-04T03:13:58, 0:10:23
25000,2,2024-10-30T22:00:17,2024-10-31T06:42:13,2024-10-31T09:35:16,2024-10-31T09:45:30, 0:10:14
25000,3,2024-10-31T09:46:56,2024-10-31T20:00:23,2024-10-31T22:46:45,2024-10-31T22:57:07, 0:10:22
50000,1,2024-10-31T22:59:03,2024-11-01T19:49:07,2024-11-02T16:53:39,2024-11-01T19:22:29, None
R^2: 0.9993
Estimated missing run time for 50k samples: 2164.430977929258 seconds
Estimated runtime for 50k samples: 153040 seconds
