size,sample,start,read_files,hmm_scan,hmm_align,distance_calc,cc_gen,total
10,1,0.0,1.0,0.0,17.0,6.0,15.905,39.905
10,3,0.0,1.0,0.0,11.0,6.0,0.263,18.263
10,2,0.0,1.0,0.0,10.0,6.0,0.525,17.525
25,3,0.0,1.0,11.0,10.0,8.0,0.596,30.596
25,1,0.0,1.0,14.0,12.0,8.0,1.85,36.85
25,2,0.0,2.0,12.0,14.0,8.0,0.619,36.619
50,1,0.0,3.0,38.0,10.0,15.0,0.792,66.792
50,2,0.0,3.0,33.0,12.0,15.0,0.764,63.764
50,3,0.0,3.0,32.0,10.0,14.0,-0.03,58.97
75,1,0.0,4.0,52.0,15.0,20.0,0.234,91.234
75,3,0.0,5.0,56.0,12.0,20.0,0.267,93.267
75,2,0.0,5.0,51.0,15.0,19.0,1.028,91.028
100,2,0.0,5.0,81.0,16.0,23.0,1.585,126.585
100,3,0.0,6.0,81.0,11.0,23.0,0.11,121.11
100,1,0.0,6.0,76.0,14.0,25.0,0.13,121.13
250,1,0.0,14.0,199.0,14.0,65.0,2.842,294.842
250,2,0.0,16.0,208.0,15.0,78.0,3.524,320.524
250,3,0.0,16.0,192.0,12.0,55.0,3.16,278.16
500,2,0.0,32.0,419.0,19.0,146.0,8.053,624.053
500,1,0.0,31.0,427.0,16.0,146.0,11.228,631.228
500,3,0.0,32.0,408.0,19.0,142.0,11.062,612.062
750,2,0.0,48.0,673.0,20.0,238.0,15.967,994.967
750,1,0.0,46.0,635.0,20.0,218.0,18.96,937.96
750,3,0.0,44.0,639.0,17.0,220.0,21.809,941.809
1000,3,0.0,55.0,839.0,24.0,272.0,30.033,1220.033
1000,1,0.0,58.0,830.0,21.0,308.0,28.789,1245.789
1000,2,0.0,56.0,852.0,22.0,341.0,34.348,1305.348
2500,1,0.0,148.0,2116.0,45.0,723.0,152.39,3184.39
2500,2,0.0,145.0,2153.0,37.0,750.0,132.469,3217.469
2500,3,0.0,141.0,2093.0,41.0,740.0,140.583,3155.583
5000,3,0.0,266.0,4278.0,64.0,1836.0,499.629,6943.629
5000,2,0.0,281.0,4403.0,1025.0,4358.0,540.392,10607.392
5000,1,0.0,285.0,4182.0,85.0,1448.0,476.75,6476.75
10000,3,0.0,635.0,8524.0,233.0,3286.0,1704.049,14382.049
10000,2,0.0,848.0,8516.0,239.0,3702.0,1728.042,15033.042
10000,1,0.0,437.0,8439.0,330.0,2969.0,1794.779,13969.779
25000,1,0.0,1650.0,21558.0,921.0,10430.0,10623.952,45182.952
