size,sample,start,read_files,hmm_scan,hmm_scan_save,hmm_align,hmm_align_save,distance_calc,cc_gen,cc_gen_save,total
10,1,0.0,0.858,4.112,0.051,1.94,0.075,0.483,0.021,0.059,21.763
10,3,0.0,0.739,3.251,0.064,1.613,0.064,0.478,0.022,0.059,8.397
10,2,0.0,1.039,3.088,0.057,1.428,0.065,0.453,0.022,0.049,8.258
25,3,0.0,1.175,4.761,0.098,1.471,0.039,0.331,0.026,0.034,9.457
25,1,0.0,1.419,7.201,0.163,2.19,0.039,0.471,0.026,0.043,13.075
25,2,0.0,1.144,5.156,0.134,1.892,0.037,0.45,0.026,0.042,10.573
50,1,0.0,2.059,7.616,0.288,2.995,0.078,0.885,0.035,0.065,15.441
50,2,0.0,1.984,7.42,0.309,3.055,0.053,0.922,0.034,0.072,15.518
50,3,0.0,2.063,8.732,0.27,2.594,0.041,0.705,0.032,0.061,15.932
75,1,0.0,3.351,9.807,0.407,3.497,0.071,1.464,0.042,0.105,20.273
75,3,0.0,2.922,9.446,0.441,3.799,0.057,1.53,0.044,0.105,19.47
75,2,0.0,3.083,11.573,0.448,4.678,0.054,1.55,0.034,0.111,22.959
100,2,0.0,3.759,11.753,0.585,5.135,0.051,2.341,0.04,0.104,25.156
100,3,0.0,4.285,13.421,0.402,3.476,0.05,2.164,0.04,0.108,25.269
100,1,0.0,3.439,12.201,0.634,4.896,0.055,1.831,0.041,0.105,24.923
250,1,0.0,9.392,23.106,1.379,8.389,0.076,10.843,0.121,0.225,55.506
250,2,0.0,9.359,25.173,1.049,8.505,0.066,8.875,0.121,0.267,54.953
250,3,0.0,8.533,22.051,0.951,7.198,0.089,7.437,0.12,0.235,48.486
500,2,0.0,18.063,42.325,2.478,13.758,0.102,4.68,0.384,0.731,85.357
500,1,0.0,17.266,42.306,2.906,14.526,0.114,4.584,0.395,0.553,85.315
500,3,0.0,15.951,44.693,2.83,13.422,0.093,3.922,0.399,0.563,84.051
750,2,0.0,24.922,66.672,4.191,22.533,0.137,10.136,1.087,0.979,133.818
750,1,0.0,24.139,64.933,3.272,19.638,0.11,8.648,0.807,0.868,125.459
750,3,0.0,23.525,62.06,3.308,19.9,0.132,8.431,0.803,0.879,121.783
1000,3,0.0,26.123,82.472,4.15,25.729,0.129,14.528,1.382,1.276,159.407
1000,1,0.0,31.069,79.413,3.979,26.373,0.129,14.09,1.353,1.175,161.678
1000,2,0.0,31.065,79.383,4.784,25.536,0.177,15.373,1.388,1.286,162.53
2500,1,0.0,61.382,195.617,10.134,62.783,0.241,71.505,9.224,3.448,426.169
2500,2,0.0,66.181,192.458,10.353,61.668,0.256,75.981,9.651,3.497,433.113
2500,3,0.0,68.582,188.369,9.914,61.093,0.273,73.505,9.095,4.623,430.287
5000,3,0.0,115.424,382.765,20.95,126.892,0.411,295.631,43.468,8.553,1035.385
5000,2,0.0,120.805,367.871,20.384,123.281,0.413,300.005,43.225,8.779,1030.186
5000,1,0.0,135.584,363.32,20.064,123.242,0.442,287.255,42.842,8.73,1023.833
10000,3,0.0,237.693,728.346,42.457,247.32,0.831,1352.77,209.221,23.646,3008.722
10000,2,0.0,225.136,730.354,41.392,245.804,1.021,1315.217,211.821,24.123,2957.548
10000,1,0.0,207.393,719.062,40.126,241.834,0.776,1275.578,206.972,22.997,2875.452
25000,1,0.0,602.974,1849.612,103.383,618.674,1.984,12739.319,2141.17,87.317,19171.379
25000,3,0.0,700.729,1800.872,101.698,611.343,2.019,12452.68,2186.213,89.188,18962.397
25000,2,0.0,619.342,1839.433,103.502,621.274,2.016,12622.838,2055.351,99.78,18994.663
50000,2,0.0,1185.88,3994.208,209.023,1242.554,4.065,80405.493,11448.601,282.647,101730.321
50000,1,0.0,1286.723,4003.348,210.303,1244.892,3.967,79877.215,11144.918,286.688,101047.709
50000,3,0.0,1126.897,3975.067,203.595,1236.057,9.659,79888.811,11465.334,301.151,101154.488
75000,1,0.0,1507.05,6205.694,372.821,1862.242,6.254,217326.414,27517.364,1483.331,262954.296
