size,sample,start,read_files,hmm_scan,hmm_scan_save,hmm_align,hmm_align_save,distance_calc,cc_gen,cc_gen_save,total
-1,10k_legacy_1,0.0,247.433,247.623,40.129,241.304,0.781,646.884,216.418,48.371,2628.627
-1,10k_legacy_2,0.0,226.817,248.24,40.853,246.346,2.282,675.106,217.669,74.692,2667.22
-1,10k_legacy_3,0.0,168.01,248.59,41.043,245.025,0.904,689.973,222.386,45.513,2625.001
-1,10k_greedy_1,0.0,252.05,242.696,40.456,241.113,0.827,659.786,213.926,30.11,2640.278
-1,10k_greedy_2,0.0,292.9,247.257,40.804,246.652,0.77,646.131,219.863,25.762,2679.724
-1,10k_greedy_3,0.0,294.515,250.045,41.425,246.476,0.827,636.721,214.112,39.219,2639.171
-1,10k_simple_match_1,0.0,159.13,246.805,40.606,241.412,1.271,655.792,214.255,30.597,2559.32
-1,10k_simple_match_2,0.0,176.788,247.74,40.857,246.293,0.845,655.012,214.535,23.237,2597.501
-1,10k_simple_match_3,0.0,239.415,246.189,41.164,245.315,0.769,661.512,215.708,39.792,2654.503
-1,10k_region_1,0.0,482.888,249.713,40.482,242.128,2.023,630.193,214.318,31.211,2868.456
-1,10k_region_2,0.0,326.688,248.251,41.22,247.693,0.982,662.051,209.169,22.431,2725.158
-1,10k_region_3,0.0,254.517,248.724,40.524,245.621,0.779,656.831,216.553,30.879,2613.413
-1,10k_protocluster_1,0.0,164.018,243.195,40.272,240.497,0.766,813.252,266.42,27.941,2946.485
-1,10k_protocluster_2,0.0,190.786,246.473,40.882,246.105,0.772,805.023,270.128,25.721,3004.744
-1,10k_protocluster_3,0.0,173.119,244.908,40.344,243.84,1.629,834.832,269.464,32.362,3005.554
-1,10k_proto_core_1,0.0,177.118,243.39,39.48,239.589,0.743,740.478,274.176,27.45,2875.983
-1,10k_proto_core_2,0.0,159.831,247.376,41.48,247.653,0.797,732.085,277.624,27.659,2856.337
-1,10k_proto_core_3,0.0,145.867,248.649,40.403,244.069,0.752,730.127,273.305,36.068,2868.202
