size,sample,start,total
10,1,0.0,19.141257
10,3,0.0,20.892588
10,2,0.0,18.884616
25,3,0.0,43.446154
25,1,0.0,48.161011
25,2,0.0,49.348909
50,1,0.0,45.118177
50,2,0.0,45.875503
50,3,0.0,43.487107
75,1,0.0,54.034244
75,3,0.0,59.288948
75,2,0.0,60.198057
100,2,0.0,63.802595
100,3,0.0,62.846883
100,1,0.0,65.006686
250,1,0.0,89.588299
250,2,0.0,89.321177
250,3,0.0,86.343525
500,2,0.0,131.619519
500,1,0.0,129.422779
500,3,0.0,127.984845
750,2,0.0,184.067028
750,1,0.0,170.283403
750,3,0.0,166.304742
1000,3,0.0,212.497952
1000,1,0.0,206.984205
1000,2,0.0,207.842758
2500,1,0.0,473.853493
2500,2,0.0,477.852859
2500,3,0.0,482.323362
5000,3,0.0,947.519105
5000,2,0.0,947.828834
10000,3,0.0,1892.266329
10000,1,0.0,1857.378686
25000,3,0.0,4687.710572
50000,3,0.0,60.198057
75000,1,0.0,1892.266329
75000,2,0.0,212.497952
