size,sample,start,total
10,1,0.0,7.395752
10,3,0.0,8.494592
10,2,0.0,7.430447
25,3,0.0,11.019844
25,1,0.0,21.069504
25,2,0.0,16.170618
50,1,0.0,22.268375
50,2,0.0,19.258243
50,3,0.0,18.598643
75,1,0.0,24.103181
75,3,0.0,27.415403
75,2,0.0,28.573168
100,2,0.0,42.632613
100,3,0.0,32.946613
100,1,0.0,41.926712
250,1,0.0,66.942382
250,2,0.0,79.906939
250,3,0.0,71.021436
500,2,0.0,128.446584
500,1,0.0,129.63805
500,3,0.0,116.016685
750,2,0.0,189.757213
750,1,0.0,188.895913
750,3,0.0,167.390646
1000,3,0.0,219.069859
1000,1,0.0,199.5781
1000,2,0.0,216.627605
2500,1,0.0,477.408109
2500,2,0.0,510.375529
2500,3,0.0,556.706153
5000,3,0.0,1120.974657
5000,2,0.0,1106.943335
5000,1,0.0,1067.021539
10000,3,0.0,2228.389834
10000,2,0.0,2222.831505
10000,1,0.0,2143.371135
25000,1,0.0,5519.578693
25000,3,0.0,5319.994261
25000,2,0.0,5322.339983
50000,2,0.0,11496.813808
50000,1,0.0,10948.678393
50000,3,0.0,31117.849013
