size,sample,start,hmm_scan,hmm_align,distance_calc,cc_gen,total
10,1,0.0,1.0,30.0,2.0,0.069,34.828
10,3,0.0,0.0,18.0,1.0,0.068,19.766
10,2,0.0,0.0,21.0,0.0,0.062,21.975
25,3,0.0,9.0,21.0,1.0,0.07,32.843
25,1,0.0,15.0,28.0,1.0,0.078,45.846
25,2,0.0,11.0,26.0,1.0,0.074,39.977
50,1,0.0,36.0,38.0,2.0,0.096,81.593
50,2,0.0,36.0,38.0,1.0,0.105,81.568
50,3,0.0,33.0,40.0,2.0,0.098,80.448
75,1,0.0,54.0,41.0,1.0,0.114,105.364
75,3,0.0,57.0,51.0,2.0,0.124,116.078
75,2,0.0,51.0,61.0,2.0,0.128,122.758
100,2,0.0,80.0,57.0,1.0,0.14,148.034
100,3,0.0,74.0,63.0,1.0,0.157,148.183
100,1,0.0,74.0,54.0,2.0,0.177,141.244
250,1,0.0,192.0,114.0,3.0,0.463,342.802
250,2,0.0,203.0,144.0,4.0,0.574,375.482
250,3,0.0,185.0,142.0,3.0,0.389,357.902
500,2,0.0,401.0,195.0,3.0,1.739,653.244
500,1,0.0,406.0,198.0,2.0,1.688,658.014
500,3,0.0,391.0,197.0,3.0,1.521,648.891
750,2,0.0,637.0,209.0,3.0,4.545,931.14
750,1,0.0,609.0,236.0,4.0,3.477,944.749
750,3,0.0,622.0,227.0,5.0,3.597,945.171
1000,3,0.0,810.0,447.0,5.0,6.02,1365.098
1000,1,0.0,872.0,296.0,6.0,5.856,1275.124
1000,2,0.0,822.0,309.0,6.0,6.448,1238.99
2500,1,0.0,2045.0,649.0,5.0,28.815,3050.903
2500,2,0.0,2063.0,745.0,3.0,29.456,3088.899
2500,3,0.0,2014.0,773.0,4.0,29.671,3114.669
5000,3,0.0,4080.0,1331.0,7.0,111.847,6324.604
5000,2,0.0,4079.0,1516.0,7.0,108.825,6509.288
5000,1,0.0,4026.0,1500.0,8.0,105.481,6412.135
10000,3,0.0,8162.0,2657.0,13.0,429.437,13548.255
10000,2,0.0,8167.0,2614.0,10.0,433.585,13595.533
10000,1,0.0,8084.0,2596.0,6.0,418.209,13420.084
25000,1,0.0,20563.0,7648.0,14.0,2783.525,43746.479
25000,3,0.0,20268.0,11534.0,12.0,2713.612,47410.592
25000,2,0.0,20433.0,6236.0,10.0,2786.126,42313.302
