size,BiG-SLICE v1.1,BiG-SLICE v2.0,BiG-SCAPE v1.1,BiG-SCAPE v2.0,Relative performance (2.0.0 v 1.1)
10,7.774,19.639,25.231,12.806,1.97
25,16.087,46.985,34.688,11.035,3.143
50,20.042,44.827,63.175,15.63,4.042
75,26.697,57.84,91.843,20.901,4.394
100,39.169,63.885,122.942,25.116,4.895
250,72.624,88.418,297.842,52.982,5.622
500,124.7,129.676,622.448,84.908,7.331
750,182.015,173.552,958.245,127.02,7.544
1000,211.759,209.108,1257.057,161.205,7.798
2500,514.83,478.01,3185.814,429.856,7.411
5000,1098.313,958.286,6710.19,1029.801,6.516
10000,2198.197,1845.769,14461.623,2947.241,4.907
25000,5387.304,4661.731,44968.949,19042.813,2.361
50000,17854.447,9146.052,153040.0,101310.839,
75000,18461.726,13017.656,,262954.296,
