size,sample,run_start,distance_calc_end,pre_crash_time,run_end,missing_runtime
10,1,0,24.0,24.0,24.0, 0.0
10,2,0,17.0,17.0,17.0, 0.0
10,3,0,18.0,18.0,18.0, 0.0
25,1,0,35.0,36.0,36.0, 0.0
25,2,0,36.0,36.0,36.0, 0.0
25,3,0,30.0,30.0,30.0, 0.0
50,1,0,66.0,67.0,67.0, 0.0
50,2,0,63.0,63.0,63.0, 0.0
50,3,0,59.0,59.0,59.0, 0.0
75,1,0,91.0,91.0,91.0, 0.0
75,2,0,90.0,91.0,91.0, 0.0
75,3,0,93.0,93.0,93.0, 0.0
100,1,0,121.0,121.0,121.0, 0.0
100,2,0,125.0,126.0,126.0, 0.0
100,3,0,121.0,121.0,121.0, 0.0
250,1,0,292.0,294.0,294.0, 0.0
250,2,0,317.0,320.0,320.0, 0.0
250,3,0,275.0,278.0,278.0, 0.0
500,1,0,620.0,630.0,631.0, 1.0
500,2,0,616.0,622.0,624.0, 2.0
500,3,0,601.0,611.0,612.0, 1.0
750,1,0,919.0,935.0,937.0, 2.0
750,2,0,979.0,992.0,995.0, 3.0
750,3,0,920.0,939.0,941.0, 2.0
1000,1,0,1217.0,1243.0,1245.0, 2.0
1000,2,0,1271.0,1302.0,1305.0, 3.0
1000,3,0,1190.0,1216.0,1220.0, 4.0
2500,1,0,3032.0,3170.0,3184.0, 14.0
2500,2,0,3085.0,3204.0,3217.0, 13.0
2500,3,0,3015.0,3142.0,3155.0, 13.0
5000,1,0,6000.0,6436.0,6477.0, 41.0
5000,3,0,6444.0,6883.0,6928.0, 45.0
10000,1,0,12175.0,13801.0,13957.0, 156.0
10000,2,0,13305.0,14879.0,15014.0, 135.0
10000,3,0,12678.0,14230.0,14368.0, 138.0
25000,1,0,34559.0,44540.0,45163.0, 623.0
25000,2,0,31316.0,41699.0,42313.0, 614.0
25000,3,0,36807.0,46789.0,47411.0, 622.0
50000,1,0,75004.0,150876.0,,
